agency_id,tax_id,company_name,official_name,category,email,phone,governorate,trust_score,status,created_at,updated_at
,8512847T,Kairouan Travel Services,Kairouan Travel Services SARL,,contact@kairouan-travel.tn,+216 77 333 444,Kairouan,50,approved,2026-01-15T20:31:09.018930,2026-01-15T20:31:09.018932
,6036468E,Bizerte Travel Agency,Bizerte Travel Agency SARL,,info@bizerte-travel.tn,+216 72 111 222,Bizerte,50,approved,2026-01-15T20:31:09.019620,2026-01-15T20:31:09.019622
,5173203A,Gabes Tours,Gabes Tours SARL,,reservations@gabes-tours.tn,+216 75 444 555,Gabes,50,approved,2026-01-15T20:31:09.020116,2026-01-15T20:31:09.020118
,9598440F,Mahdia Voyages,Mahdia Voyages SARL,,contact@mahdia-voyages.tn,+216 73 666 777,Mahdia,50,approved,2026-01-15T20:31:09.020612,2026-01-15T20:31:09.020615
,5984180Z,Beja Travel,Beja Travel SARL,,info@beja-travel.tn,+216 78 888 999,Beja,50,approved,2026-01-15T20:31:09.021110,2026-01-15T20:31:09.021112
,01616343A,ABC Travel SARL,,,info@abc.tn,+21698234567,Tunis,50,approved,2026-01-15T20:31:09.021595,2026-01-15T20:31:09.021598
,12345678A,Test Agency SARL,,,test@test.tn,+21671234567,Tunis,50,approved,2026-01-15T20:31:09.022076,2026-01-15T20:31:09.022079
,02345678B,Elite Tours SARL,,,elite@tn.com,+21698234567,Ariana,50,approved,2026-01-15T20:31:09.022567,2026-01-15T20:31:09.022569
,09052852B,CARTHAGE TRAVELS SARL,,,contact@carthagetravels.com,+21671123456,Tunis,50,approved,2026-01-15T20:31:09.023042,2026-01-15T20:31:09.023044
,12345678,TEST AGENCY SARL,,,test@test.tn,+21651234567,Tunis,50,approved,2026-01-15T20:31:09.023743,2026-01-15T20:31:09.023745
,002412B,GLOBAL LIGHTING SARL,,,global.lighting@gnet.tn,+216 77 302 625,Tunis,50,approved,2026-01-15T20:31:09.024475,2026-01-15T20:31:09.024477
