tax_id,company_name,official_name,governorate,email,phone,phone_valid,trust_score,fraud_risk,analysis,last_verified
7966731R,Didon Tours,Didon Tours SARL,Tunis,contact@didontours.com,+216 71 330 000,False,92,false,,
5440355G,Jektis Travel,Jektis Travel SARL,Ariana,contact@jektistravel.com,+216 71 706 900,False,98,false,,
8129747L,Traveltodo,Traveltodo SARL,Tunis,info@traveltodo.com,+216 71 500 000,False,96,false,,
4992141Q,Green Trek Tunisia,Green Trek Tunisia SARL,Tunis,info@greentrek.tn,+216 98 500 123,False,76,false,,
9529992T,Skyways Adventures,Skyways Adventures SARL,Tozeur,contact@skyways-adventures.tn,+216 76 450 000,False,98,false,,
3695851C,Tabaani Travel,Tabaani Travel SARL,Tunis,hello@tabaani.co,+216 55 123 456,False,85,false,,
8016423H,Etnafes Eco Tourism,Etnafes Eco Tourism SARL,Tunis,contact@etnafes.tn,+216 98 765 432,False,81,false,,
4941736J,El Baraka Travel,El Baraka Travel SARL,Tunis,info@elbaraka-travel.tn,+216 71 456 789,False,78,false,,
5862685C,Omra Plus,Omra Plus SARL,Tunis,reservations@omraplus.tn,+216 71 234 567,False,85,false,,
6712535F,Pilgrimage Tours Tunisia,Pilgrimage Tours Tunisia SARL,Sousse,contact@pilgrimage-tunisia.tn,+216 73 555 666,False,97,false,,
4639720N,Al Amal Travel,Al Amal Travel SARL,Sfax,info@alamal-travel.tn,+216 74 888 999,False,91,false,,
3195424L,Corporate Travel Solutions,Corporate Travel Solutions SARL,Tunis,corporate@cts-tunisia.tn,+216 71 123 000,False,79,false,,
7947185Q,Tunisia Business Travel,Tunisia Business Travel SARL,Tunis,sales@tbt.tn,+216 71 987 654,False,88,false,,
6059305C,Express Corporate Travel,Express Corporate Travel SARL,Tunis,bookings@express-corporate.tn,+216 71 555 888,False,92,false,,
7501811M,BizTravel Tunisia,BizTravel Tunisia SARL,Tunis,info@biztravel.tn,+216 71 222 333,False,97,false,,
9589734E,Sahara Tours Djerba,Sahara Tours Djerba SARL,Djerba,contact@sahara-djerba.tn,+216 75 654 321,False,98,false,,
5138364H,Nabeul Voyages,Nabeul Voyages SARL,Nabeul,info@nabeul-voyages.tn,+216 72 789 012,False,81,false,,
8512847T,Kairouan Travel Services,Kairouan Travel Services SARL,Kairouan,contact@kairouan-travel.tn,+216 77 333 444,False,92,false,,
6036468E,Bizerte Travel Agency,Bizerte Travel Agency SARL,Bizerte,info@bizerte-travel.tn,+216 72 111 222,False,90,false,,
5173203A,Gabes Tours,Gabes Tours SARL,Gabes,reservations@gabes-tours.tn,+216 75 444 555,False,77,false,,
9598440F,Mahdia Voyages,Mahdia Voyages SARL,Mahdia,contact@mahdia-voyages.tn,+216 73 666 777,False,95,false,,
5984180Z,Beja Travel,Beja Travel SARL,Beja,info@beja-travel.tn,+216 78 888 999,False,87,false,,
01616343A,ABC Travel SARL,,Tunis,info@abc.tn,+21698234567,True,69,false,Valid phone (+25); Valid email domain (+20); Legitimate company name (+30); Valid Tunisian governorate (+15); Invalid tax ID format,2026-01-03T12:23:57.457010Z
12345678A,Test Agency SARL,,Tunis,test@test.tn,+21671234567,True,69,false,Valid phone (+25); Valid email domain (+20); Legitimate company name (+30); Valid Tunisian governorate (+15); Invalid tax ID format,2026-01-03T12:11:18.812457Z
02345678B,Elite Tours SARL,,Ariana,elite@tn.com,+21698234567,True,42,true,Valid phone (+25); Suspicious email domain (-15); Legitimate company name (+30); Valid Tunisian governorate (+15); Invalid tax ID format,2026-01-03T12:17:24.839410Z
09052852B,CARTHAGE TRAVELS SARL,,Tunis,contact@carthagetravels.com,+21671123456,True,27,true,Valid phone (+25); Suspicious email domain (-15); Legitimate company name (+30); Valid Tunisian governorate (+15); Invalid tax ID format,2026-01-03T13:01:29.153875Z
12345678,TEST AGENCY SARL,,Tunis,test@test.tn,+21651234567,True,69,false,Valid phone (+25); Valid email domain (+20); Legitimate company name (+30); Valid Tunisian governorate (+15); Invalid tax ID format,2026-01-05T16:10:40.008276Z
002412B,GLOBAL LIGHTING SARL,,Tunis,global.lighting@gnet.tn,+216 77 302 625,True,50,false,Valid phone (+25); .tn email (+10); SARL (+15),2026-01-10T17:04:50.771221
