tax_id,company_name,official_name,governorate,email,phone,phone_valid,trust_score,fraud_risk,analysis,last_verified,rne_status,rne_adjust
4830343T,Fortuna Travel Tunisia,Fortuna Travel Tunisia SARL,Tunis,info@fortuna-travel.tn,+216 55 885 255,False,95,false,,,NOT_VERIFIED,0
1538746Q,New Look Travel,New Look Travel SARL,Tunis,contact@newlook-travel.tn,+216 71 295 759,False,75,false,,,NOT_VERIFIED,0
6845056T,TWS Agence de Voyages,TWS Agence de Voyages SARL,Monastir,reservations@tws-travel.tn,+216 72 226 669,False,91,false,,,NOT_VERIFIED,0
9384744M,Ulysse Voyages,Ulysse Voyages SARL,Djerba,contact@ulysse-voyages.tn,+216 75 621 909,False,84,false,,,NOT_VERIFIED,0
2505264S,Tunisie Randonnées,Tunisie Randonnées SARL,Kebili,info@tunisie-randonnees.tn,+216 26 245 082,False,97,false,,,NOT_VERIFIED,0
2913000N,Capitol Travel,Capitol Travel SARL,Hammamet,booking@capitol-travel.tn,+216 98 318 782,False,82,false,,,NOT_VERIFIED,0
4395462P,Tunivoyage,Tunivoyage SARL,Tunis,info@tunivoyage.tn,+216 21 280 051,False,91,false,,,NOT_VERIFIED,0
7966731R,Didon Tours,Didon Tours SARL,Tunis,contact@didontours.com,+216 71 330 000,False,92,false,,,NOT_VERIFIED,0
5440355G,Jektis Travel,Jektis Travel SARL,Ariana,contact@jektistravel.com,+216 71 706 900,False,98,false,,,NOT_VERIFIED,0
8129747L,Traveltodo,Traveltodo SARL,Tunis,info@traveltodo.com,+216 71 500 000,False,96,false,,,NOT_VERIFIED,0
4992141Q,Green Trek Tunisia,Green Trek Tunisia SARL,Tunis,info@greentrek.tn,+216 98 500 123,False,76,false,,,NOT_VERIFIED,0
9529992T,Skyways Adventures,Skyways Adventures SARL,Tozeur,contact@skyways-adventures.tn,+216 76 450 000,False,98,false,,,NOT_VERIFIED,0
3695851C,Tabaani Travel,Tabaani Travel SARL,Tunis,hello@tabaani.co,+216 55 123 456,False,85,false,,,NOT_VERIFIED,0
8016423H,Etnafes Eco Tourism,Etnafes Eco Tourism SARL,Tunis,contact@etnafes.tn,+216 98 765 432,False,81,false,,,NOT_VERIFIED,0
4941736J,El Baraka Travel,El Baraka Travel SARL,Tunis,info@elbaraka-travel.tn,+216 71 456 789,False,78,false,,,NOT_VERIFIED,0
5862685C,Omra Plus,Omra Plus SARL,Tunis,reservations@omraplus.tn,+216 71 234 567,False,85,false,,,NOT_VERIFIED,0
6712535F,Pilgrimage Tours Tunisia,Pilgrimage Tours Tunisia SARL,Sousse,contact@pilgrimage-tunisia.tn,+216 73 555 666,False,97,false,,,NOT_VERIFIED,0
4639720N,Al Amal Travel,Al Amal Travel SARL,Sfax,info@alamal-travel.tn,+216 74 888 999,False,91,false,,,NOT_VERIFIED,0
3195424L,Corporate Travel Solutions,Corporate Travel Solutions SARL,Tunis,corporate@cts-tunisia.tn,+216 71 123 000,False,79,false,,,NOT_VERIFIED,0
7947185Q,Tunisia Business Travel,Tunisia Business Travel SARL,Tunis,sales@tbt.tn,+216 71 987 654,False,88,false,,,NOT_VERIFIED,0
6059305C,Express Corporate Travel,Express Corporate Travel SARL,Tunis,bookings@express-corporate.tn,+216 71 555 888,False,92,false,,,NOT_VERIFIED,0
7501811M,BizTravel Tunisia,BizTravel Tunisia SARL,Tunis,info@biztravel.tn,+216 71 222 333,False,97,false,,,NOT_VERIFIED,0
9589734E,Sahara Tours Djerba,Sahara Tours Djerba SARL,Djerba,contact@sahara-djerba.tn,+216 75 654 321,False,98,false,,,NOT_VERIFIED,0
5138364H,Nabeul Voyages,Nabeul Voyages SARL,Nabeul,info@nabeul-voyages.tn,+216 72 789 012,False,81,false,,,NOT_VERIFIED,0
8512847T,Kairouan Travel Services,Kairouan Travel Services SARL,Kairouan,contact@kairouan-travel.tn,+216 77 333 444,False,92,false,,,NOT_VERIFIED,0
6036468E,Bizerte Travel Agency,Bizerte Travel Agency SARL,Bizerte,info@bizerte-travel.tn,+216 72 111 222,False,90,false,,,NOT_VERIFIED,0
5173203A,Gabes Tours,Gabes Tours SARL,Gabes,reservations@gabes-tours.tn,+216 75 444 555,False,77,false,,,NOT_VERIFIED,0
9598440F,Mahdia Voyages,Mahdia Voyages SARL,Mahdia,contact@mahdia-voyages.tn,+216 73 666 777,False,95,false,,,NOT_VERIFIED,0
5984180Z,Beja Travel,Beja Travel SARL,Beja,info@beja-travel.tn,+216 78 888 999,False,87,false,,,NOT_VERIFIED,0
01616343A,ABC Travel SARL,,Tunis,info@abc.tn,+21698234567,True,69,false,Valid phone (+25); Valid email domain (+20); Legitimate company name (+30); Valid Tunisian governorate (+15); Invalid tax ID format,2026-01-03T12:23:57.457010Z,NOT_VERIFIED,0
12345678A,Test Agency SARL,,Tunis,test@test.tn,+21671234567,True,69,false,Valid phone (+25); Valid email domain (+20); Legitimate company name (+30); Valid Tunisian governorate (+15); Invalid tax ID format,2026-01-03T12:11:18.812457Z,NOT_VERIFIED,0
02345678B,Elite Tours SARL,,Ariana,elite@tn.com,+21698234567,True,42,true,Valid phone (+25); Suspicious email domain (-15); Legitimate company name (+30); Valid Tunisian governorate (+15); Invalid tax ID format,2026-01-03T12:17:24.839410Z,NOT_VERIFIED,0
09052852B,CARTHAGE TRAVELS SARL,,Tunis,contact@carthagetravels.com,+21671123456,True,27,true,Valid phone (+25); Suspicious email domain (-15); Legitimate company name (+30); Valid Tunisian governorate (+15); Invalid tax ID format,2026-01-03T13:01:29.153875Z,NOT_VERIFIED,0
00002412B,ABC Travel SARL,,Tunis,info@abc.tn,+216 71 234 567,False,34,false,Invalid phone (-20); Valid email domain (+20); Legitimate company name (+30); Valid Tunisian governorate (+15); Invalid tax ID,2026-01-05T13:00:01.898436Z,NOT_VERIFIED,0
77302626,GLOBAL LIGHTING SARL,,Tunis,global.lighting@gnet.tn,+216 77 302 626,False,34,false,Invalid phone (-20); Valid email domain (+20); Legitimate company name (+30); Valid Tunisian governorate (+15); Invalid tax ID format,2026-01-05T15:27:59.198234Z,NOT_VERIFIED,0
